Body Name,Body,Service Code,Organisational Unit,Expenditure Category,Expenditure Code,Date,Transaction Number,Net Amount ,Capital and Revenue,Supplier Name
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V201810,51.25 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V202265,51.44 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V202292,52.09 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V202307,54.19 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V202304,54.97 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V201811,55.31 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V202308,56.23 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V202252,57.53 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V202288,57.62 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V202305,58.02 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V202300,59.39 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V201797,62.76 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V202263,64.40 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V202269,67.10 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V202298,70.83 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V201796,73.34 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V202319,75.20 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V202281,77.17 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V202280,77.17 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V202303,79.13 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V201818,79.52 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V202320,81.78 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V202293,84.81 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V202290,85.51 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V202257,87.27 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V202266,88.20 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V202278,89.98 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,01/06/2012,V198300,94.04 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V202283,99.16 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V202282,104.96 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V201809,114.89 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V201808,157.72 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,28/06/2012,V202301,165.94 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,15/06/2012,V201507,484.59 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,CULT,Culture & Leisure Services,ELECTRICITY METERED USAGE               ,2101,01/06/2012,V198311,596.43 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY STANDING CHARGE             ,2100,01/06/2012,V198197,927.83 ,Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,ELECTRICITY METERED USAGE               ,2101,01/06/2012,V198147,"2,287.94 ",Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,CULT,Culture & Leisure Services,ELECTRICITY METERED USAGE               ,2101,01/06/2012,V198310,"2,357.88 ",Revenue,SOUTHERN ELECTRIC PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,CONSTRUCTION                            ,5432,15/06/2012,V201461,340.00 ,Capital,SOVEREIGN SCAFFOLDING SERVICES (CONTRACTS)LTD
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,EQUIPMENT RENTAL                        ,4030,28/06/2012,V202550,390.00 ,Revenue,SOVEREIGN SCAFFOLDING SERVICES (CONTRACTS)LTD
Corby Borough Council,34UB,PROP,CB Property Services,PERIODICALS ANNUAL SUBS                 ,4241,22/06/2012,V202012,133.44 ,Revenue,SPENCER COURT NEWS LTD
Corby Borough Council,34UB,PROP,CB Property Services,PERIODICALS ANNUAL SUBS                 ,4241,22/06/2012,V202015,136.32 ,Revenue,SPENCER COURT NEWS LTD
Corby Borough Council,34UB,PROP,CB Property Services,PERIODICALS ANNUAL SUBS                 ,4241,22/06/2012,V202014,136.32 ,Revenue,SPENCER COURT NEWS LTD
Corby Borough Council,34UB,PROP,CB Property Services,PERIODICALS ANNUAL SUBS                 ,4241,22/06/2012,V202011,136.80 ,Revenue,SPENCER COURT NEWS LTD
Corby Borough Council,34UB,PROP,CB Property Services,PERIODICALS ANNUAL SUBS                 ,4241,22/06/2012,V202013,142.08 ,Revenue,SPENCER COURT NEWS LTD
Corby Borough Council,34UB,PROP,CB Property Services,PERIODICALS ANNUAL SUBS                 ,4241,22/06/2012,V202010,145.92 ,Revenue,SPENCER COURT NEWS LTD
Corby Borough Council,34UB,CULT,Culture & Leisure Services,EQUIPMENT -SALEABLE                     ,4001,28/06/2012,V202504,97.75 ,Revenue,SRS LEISURE LTD
Corby Borough Council,34UB,CULT,Culture & Leisure Services,EQUIPMENT -SALEABLE                     ,4001,01/06/2012,V198377,519.93 ,Revenue,SRS LEISURE LTD
Corby Borough Council,34UB,CULT,Culture & Leisure Services,EQUIPMENT -SALEABLE                     ,4001,22/06/2012,V202104,900.86 ,Revenue,SRS LEISURE LTD
Corby Borough Council,34UB,CULT,Culture & Leisure Services,EQUIPMENT -SALEABLE                     ,4001,01/06/2012,V198376,"1,033.68 ",Revenue,SRS LEISURE LTD
Corby Borough Council,34UB,CULT,Culture & Leisure Services,CIVIC ENTERTAINING                      ,4537,28/06/2012,V202496,"10,955.00 ",Revenue,STAGE RIGHT PRODUCTIONS LTD
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,GENERAL R&M,2080,01/06/2012,V198170,241.95 ,Revenue,STANAIR LTD
Corby Borough Council,34UB,CULT,Culture & Leisure Services,GENERAL R&M,2080,28/06/2012,V202451,717.20 ,Revenue,STANAIR LTD
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,GENERAL R&M,2080,28/06/2012,V202549,"9,550.83 ",Revenue,STEPHEN A MUTCH
Corby Borough Council,34UB,ENVQ,Environmental Services,CONSTRUCTION                            ,5432,28/06/2012,V202420,228.00 ,Capital,STRAIGHT PLC
Corby Borough Council,34UB,ENVQ,Environmental Services,CONSTRUCTION                            ,5432,01/06/2012,V197903,"2,085.80 ",Capital,STRAIGHT PLC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,CONSTRUCTION                            ,5432,15/06/2012,V201409,"23,943.74 ",Capital,SUPERIOR PLUMBING INSTALLATIONS ASSOC
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,RETENTION                               ,5420,28/06/2012,V202562,"29,659.21 ",Capital,SUPERIOR PLUMBING INSTALLATIONS ASSOC
Corby Borough Council,34UB,PROP,CB Property Services,CONSTRUCTION                            ,5432,28/06/2012,V202528,"10,472.66 ",Capital,SURSHAM TOMKINS & PARTNERS
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,CONSTRUCTION                            ,5432,15/06/2012,V201595,"5,087.96 ",Capital,SWAN DOORS PLC
Corby Borough Council,34UB,PROP,CB Property Services,CONSULTANTS                             ,4320,15/06/2012,V201616,"98,127.16 ",Capital,T & W CIVIL ENGINEERING LTD
Corby Borough Council,34UB,CULT,Culture & Leisure Services,CIVIC ENTERTAINING                      ,4537,22/06/2012,V201913,"1,040.00 ",Revenue,TANGERINE RED
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,CBC FLEET HIRE - TRANSPORT              ,3101,22/06/2012,V202062,91.45 ,Revenue,TANVIC TYRE AND SERVICE CENTRE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,CBC FLEET HIRE - TRANSPORT              ,3101,01/06/2012,V198330,100.85 ,Revenue,TANVIC TYRE AND SERVICE CENTRE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,CBC FLEET HIRE - TRANSPORT              ,3101,28/06/2012,V202400,100.85 ,Revenue,TANVIC TYRE AND SERVICE CENTRE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,CBC FLEET HIRE - TRANSPORT              ,3101,01/06/2012,V198331,100.85 ,Revenue,TANVIC TYRE AND SERVICE CENTRE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,CBC FLEET HIRE - TRANSPORT              ,3101,01/06/2012,V201103,103.35 ,Revenue,TANVIC TYRE AND SERVICE CENTRE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,CBC FLEET HIRE - TRANSPORT              ,3101,15/06/2012,V201701,119.93 ,Revenue,TANVIC TYRE AND SERVICE CENTRE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,CBC FLEET HIRE - TRANSPORT              ,3101,01/06/2012,V198329,128.35 ,Revenue,TANVIC TYRE AND SERVICE CENTRE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,STATIONERY DIRECT PURCHASE              ,4210,01/06/2012,V197762,822.73 ,Revenue,TARGET MEDIA
Corby Borough Council,34UB,FINS,Financial Services,AUDIT COMMISSION FEES                   ,4339,22/06/2012,V201519,"8,658.00 ",Revenue,THE AUDIT COMMISSION
Corby Borough Council,34UB,FINS,Financial Services,AUDIT COMMISSION FEES                   ,4339,28/06/2012,V202436,"10,000.00 ",Revenue,THE AUDIT COMMISSION
Corby Borough Council,34UB,CULT,Culture & Leisure Services,ADVERTISING                             ,4710,01/06/2012,V198341,600.00 ,Revenue,THE CORBY EYE
Corby Borough Council,34UB,LEGL,Legal Services,PERIODICALS ANNUAL SUBS                 ,4241,28/06/2012,V202543,874.00 ,Revenue,THOMSON LEGAL & REGULATORY LTD
Corby Borough Council,34UB,LEGL,Legal Services,PERIODICALS ANNUAL SUBS                 ,4241,28/06/2012,V202545,874.00 ,Revenue,THOMSON LEGAL & REGULATORY LTD
Corby Borough Council,34UB,LEGL,Legal Services,PERIODICALS ANNUAL SUBS                 ,4241,28/06/2012,V202544,987.00 ,Revenue,THOMSON LEGAL & REGULATORY LTD
Corby Borough Council,34UB,LEGL,Legal Services,PERIODICALS ANNUAL SUBS                 ,4241,28/06/2012,V202546,"1,249.00 ",Revenue,THOMSON LEGAL & REGULATORY LTD
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,GENERAL R&M,2080,15/06/2012,V201707,650.00 ,Revenue,THORPE PAVING DESIGN & CONSTRUCTION
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,CONSTRUCTION                            ,5432,15/06/2012,V201706,"6,327.76 ",Capital,THORPE PAVING DESIGN & CONSTRUCTION
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,PROTECTIVE CLOTHING                     ,4150,28/06/2012,V202411,33.99 ,Revenue,TOTAL PROMOTIONS LTD
Corby Borough Council,34UB,CULT,Culture & Leisure Services,CIVIC ENTERTAINING                      ,4537,22/06/2012,V202043,64.90 ,Revenue,TOTAL PROMOTIONS LTD
Corby Borough Council,34UB,CULT,Culture & Leisure Services,PROTECTIVE CLOTHING                     ,4150,22/06/2012,V202028,84.99 ,Revenue,TOTAL PROMOTIONS LTD
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,PROTECTIVE CLOTHING                     ,4150,28/06/2012,V202412,87.08 ,Revenue,TOTAL PROMOTIONS LTD
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,PROTECTIVE CLOTHING                     ,4150,28/06/2012,V202413,168.76 ,Revenue,TOTAL PROMOTIONS LTD
Corby Borough Council,34UB,CULT,Culture & Leisure Services,EQUIPMENT PURCHASE                      ,4000,22/06/2012,V202042,918.50 ,Revenue,TOTAL PROMOTIONS LTD
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,TREE MAINTENANCE                        ,2902,22/06/2012,V201250,180.00 ,Revenue,TURNEY LANDSCAPES LTD
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,TREE MAINTENANCE                        ,2902,22/06/2012,V201502,200.00 ,Revenue,TURNEY LANDSCAPES LTD
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,TREE MAINTENANCE                        ,2902,22/06/2012,V201249,280.00 ,Revenue,TURNEY LANDSCAPES LTD
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,BULK POSTAGES                  ,4401,28/06/2012,V202417,196.84 ,Revenue,UK MAIL LIMITED
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,BULK POSTAGES                  ,4401,01/06/2012,V198192,220.55 ,Revenue,UK MAIL LIMITED
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,BULK POSTAGES                  ,4401,22/06/2012,V201858,228.87 ,Revenue,UK MAIL LIMITED
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,BULK POSTAGES                  ,4401,15/06/2012,V201512,292.52 ,Revenue,UK MAIL LIMITED
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,BULK POSTAGES                  ,4401,15/06/2012,V201497,390.12 ,Revenue,UK MAIL LIMITED
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,CBC FLEET HIRE - TRANSPORT              ,3101,28/06/2012,V202239,673.81 ,Revenue,UK TIMBER LTD
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,CBC FLEET HIRE - TRANSPORT              ,3101,22/06/2012,V202114,711.78 ,Revenue,UK TIMBER LTD
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,CBC FLEET HIRE - TRANSPORT              ,3101,01/06/2012,V198336,726.84 ,Revenue,UK TIMBER LTD
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,CBC FLEET HIRE - TRANSPORT              ,3101,15/06/2012,V201696,738.23 ,Revenue,UK TIMBER LTD
Corby Borough Council,34UB,FINS,Financial Services,CBC FLEET HIRE - TRANSPORT              ,3101,01/06/2012,V198339,751.70 ,Revenue,UK TIMBER LTD
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,CBC FLEET HIRE - TRANSPORT              ,3101,15/06/2012,V201418,771.87 ,Revenue,UK TIMBER LTD
Corby Borough Council,34UB,CULT,Culture & Leisure Services,MATERIALS - CHEMICALS                   ,4082,28/06/2012,V202627,317.30 ,Revenue,UNIVAR LIMITED
Corby Borough Council,34UB,CULT,Culture & Leisure Services,MATERIALS - CHEMICALS                   ,4082,15/06/2012,V201714,413.71 ,Revenue,UNIVAR LIMITED
Corby Borough Council,34UB,CULT,Culture & Leisure Services,MATERIALS - CHEMICALS                   ,4082,15/06/2012,V201716,505.55 ,Revenue,UNIVAR LIMITED
Corby Borough Council,34UB,CULT,Culture & Leisure Services,MATERIALS - CHEMICALS                   ,4082,22/06/2012,V202164,540.11 ,Revenue,UNIVAR LIMITED
Corby Borough Council,34UB,CULT,Culture & Leisure Services,CIVIC ENTERTAINING                      ,4537,22/06/2012,V201917,600.00 ,Revenue,VIDEO INN PRODUCTION
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,SKIP HIRE                     ,4345,28/06/2012,V202408,578.97 ,Revenue,VIRIDOR WASTE MANAGEMENT LIMITED
Corby Borough Council,34UB,FINS,Financial Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V198117,2.00 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V198304,2.00 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,PROP,CB Property Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V201613,3.53 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,ENVQ,Environmental Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V198286,6.00 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,PROP,CB Property Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V201559,6.00 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,PROP,CB Property Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V201558,6.00 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V198302,6.01 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,FINS,Financial Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V198118,6.07 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,MOBILE PHONE - RENTAL,4420,22/06/2012,V202108,6.16 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,FINS,Financial Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V198116,6.19 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,CULT,Culture & Leisure Services,TELEPHONE RENTAL                        ,4410,15/06/2012,V201424,6.22 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V198105,7.72 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,CULT,Culture & Leisure Services,TELEPHONE RENTAL                        ,4410,15/06/2012,V201425,7.75 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,MOBILE PHONE - RENTAL,4420,22/06/2012,V202107,8.02 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,REGN,Planning Services,MOBILE PHONE - CALL/TEXT CHARGES,4421,08/06/2012,V201344,8.17 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,TELEPHONE CALL CHARGES                  ,4411,15/06/2012,V198114,8.69 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,PROP,CB Property Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V201612,9.30 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V198104,9.50 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V198106,9.67 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V198115,9.92 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,MOBILE PHONE - CALL/TEXT CHARGES,4421,15/06/2012,V198113,10.33 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,FINS,Financial Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V198099,10.96 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V198127,11.20 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,ENVQ,Environmental Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V198287,13.30 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V198109,13.98 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V198102,15.01 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,PROP,CB Property Services,MOBILE PHONE - RENTAL,4420,28/06/2012,V202532,16.04 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V198303,17.79 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,MOBILE PHONE - CALL/TEXT CHARGES,4421,15/06/2012,V198111,19.35 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V198103,19.45 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,ENVQ,Environmental Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V198288,23.87 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,ENVQ,Environmental Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V198290,30.41 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,ENVQ,Environmental Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V198289,38.38 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V198107,39.52 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,MOBILE PHONE - CALL/TEXT CHARGES,4421,15/06/2012,V198112,43.46 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V198110,46.90 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V201432,74.48 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V198301,105.66 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,MOBILE PHONE - RENTAL,4420,15/06/2012,V198108,109.03 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,CUST,Customer First,EQUIPMENT PURCHASE                      ,4000,28/06/2012,V202612,205.00 ,Revenue,VODAFONE LTD CORPORATE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,VOID PROPERTIES - SECURITY,2070,22/06/2012,V202167,23.73 ,Revenue,VPS (UK) LIMITED
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,VOID PROPERTIES - SECURITY,2070,22/06/2012,V202168,180.32 ,Revenue,VPS (UK) LIMITED
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,VOID PROPERTIES - SECURITY,2070,22/06/2012,V202170,672.00 ,Revenue,VPS (UK) LIMITED
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,VOID PROPERTIES - SECURITY,2070,22/06/2012,V202169,"1,554.72 ",Revenue,VPS (UK) LIMITED
Corby Borough Council,34UB,ENVQ,Environmental Services,MEMORIAL BENCHES EXPENSES               ,4762,15/06/2012,V201530,310.00 ,Revenue,W R S MCCULLOCH
Corby Borough Council,34UB,ENVQ,Environmental Services,MEMORIAL BENCHES EXPENSES               ,4762,28/06/2012,V202422,350.00 ,Revenue,W R S MCCULLOCH
Corby Borough Council,34UB,ENVQ,Environmental Services,MEMORIAL BENCHES EXPENSES               ,4762,15/06/2012,V201531,350.00 ,Revenue,W R S MCCULLOCH
Corby Borough Council,34UB,ENVQ,Environmental Services,MEMORIAL BENCHES EXPENSES               ,4762,15/06/2012,V201532,350.00 ,Revenue,W R S MCCULLOCH
Corby Borough Council,34UB,ENVQ,Environmental Services,MEMORIAL BENCHES EXPENSES               ,4762,15/06/2012,V201529,350.00 ,Revenue,W R S MCCULLOCH
Corby Borough Council,34UB,ENVQ,Environmental Services,MEMORIAL BENCHES EXPENSES               ,4762,28/06/2012,V202421,700.00 ,Revenue,W R S MCCULLOCH
Corby Borough Council,34UB,CULT,Culture & Leisure Services,WINDOW CLEANING COSTS                  ,2610,22/06/2012,V202024,360.00 ,Revenue,WATERWORKS WINDOW CLEANING LTD
